CODIGO;NOMBRE;FECHA;VARIABLE;ABCISADO;VALOR
48017010;LETICIA;16/11/2009;COTA CERO;nan;85.123
48017010;LETICIA;23/09/2011;COTA CERO;nan;80.702
48017010;LETICIA;18/04/2012;COTA CERO;nan;52.202
48017010;LETICIA;25/09/2012;COTA CERO;nan;79.945
48017010;LETICIA;15/11/2013;COTA CERO;nan;77.316
48017010;LETICIA;20/06/2014;COTA CERO;nan;79.857
48017010;LETICIA;16/11/2009;COTA;0;99.851
48017010;LETICIA;16/11/2009;COTA;5;97.572
48017010;LETICIA;16/11/2009;COTA;15.5;95.93
48017010;LETICIA;16/11/2009;COTA;88.5;96.401
48017010;LETICIA;16/11/2009;COTA;118.8;93.318
48017010;LETICIA;16/11/2009;COTA;148.5;92.669
48017010;LETICIA;16/11/2009;COTA;178.5;94.592
48017010;LETICIA;16/11/2009;COTA;198.5;94.764
48017010;LETICIA;16/11/2009;COTA;228.5;91.598
48017010;LETICIA;16/11/2009;COTA;270.5;90.95
48017010;LETICIA;16/11/2009;COTA;270.5;90.226
48017010;LETICIA;16/11/2009;COTA;307.5;88.12
48017010;LETICIA;16/11/2009;COTA;347.5;86.14
48017010;LETICIA;16/11/2009;COTA;387.5;86.14
48017010;LETICIA;16/11/2009;COTA;427.5;84.64
48017010;LETICIA;16/11/2009;COTA;467.5;82.14
48017010;LETICIA;16/11/2009;COTA;507.5;81.14
48017010;LETICIA;16/11/2009;COTA;547.5;81.64
48017010;LETICIA;16/11/2009;COTA;587.5;80.14
48017010;LETICIA;16/11/2009;COTA;627.5;81.64
48017010;LETICIA;16/11/2009;COTA;667.5;81.64
48017010;LETICIA;16/11/2009;COTA;707.5;81.64
48017010;LETICIA;16/11/2009;COTA;747.5;81.64
48017010;LETICIA;16/11/2009;COTA;787.5;82.64
48017010;LETICIA;16/11/2009;COTA;827.5;83.14
48017010;LETICIA;16/11/2009;COTA;867.5;83.14
48017010;LETICIA;16/11/2009;COTA;907.5;83.14
48017010;LETICIA;16/11/2009;COTA;947.5;84.14
48017010;LETICIA;16/11/2009;COTA;987.5;83.14
48017010;LETICIA;16/11/2009;COTA;1027.5;84.14
48017010;LETICIA;16/11/2009;COTA;1067.5;84.14
48017010;LETICIA;16/11/2009;COTA;1107.5;83.64
48017010;LETICIA;16/11/2009;COTA;1147.5;84.64
